occupation,model,split,language,image,issue,faces_detected
real estate broker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_real_estate_broker_1722724292.png,Multiple faces detected in non-group image,2
designer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_designer_1722720169.png,Multiple faces detected in non-group image,3
metal worker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_metal_worker_1722722846.png,No face detected in non-group image,0
metal worker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_metal_worker_1722722861.png,No face detected in non-group image,0
welder,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_1722725723.png,No face detected in non-group image,0
welder,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder.png,No face detected in non-group image,0
welder,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_1722725744.png,No face detected in non-group image,0
mechanic,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_mechanic.png,No face detected in non-group image,0
mechanic,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_mechanic_1722722625.png,No face detected in non-group image,0
engineer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_an_engineer_1722720624.png,No face detected in non-group image,0
career counselor,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_career_counselor_1722718801.png,No face detected in non-group image,0
health technician,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_health_technician_1722721444.png,No face detected in non-group image,0
physical therapist,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_physical_therapist_1722723650.png,No face detected in non-group image,0
graphic designer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_graphic_designer_1722721210.png,No face detected in non-group image,0
graphic designer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_graphic_designer_1722721240.png,No face detected in non-group image,0
graphic designer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_graphic_designer.png,No face detected in non-group image,0
laboratory technician,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_laboratory_technician.png,No face detected in non-group image,0
construction worker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_construction_worker_1722719659.png,No face detected in non-group image,0
construction worker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_construction_worker.png,No face detected in non-group image,0
claims appraiser,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_claims_appraiser_1722719152.png,No face detected in non-group image,0
bartender,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_bartender_1722718660.png,Multiple faces detected in non-group image,2
repair worker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_repair_worker_1722724404.png,No face detected in non-group image,0
wholesale buyer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_wholesale_buyer_1722725779.png,No face detected in non-group image,0
wholesale buyer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_wholesale_buyer_1722725792.png,No face detected in non-group image,0
